"Sample_1","Sample_1_label","Sample_2","Sample_2_label","Pearson_r","p_value","significance","p_value_display"
"RAS101_FMRP_CLIP_Control_Control","Control Control","RAS102_FMRP_CLIP_Control_Control","Control Control",0.980396480085644,0,"***","<2.2e-16"
"RAS101_FMRP_CLIP_Control_Control","Control Control","RAS81_FMRP_CLIP_Control_Control","Control Control",0.914353544711512,0,"***","<2.2e-16"
"RAS102_FMRP_CLIP_Control_Control","Control Control","RAS81_FMRP_CLIP_Control_Control","Control Control",0.897480573569167,0,"***","<2.2e-16"
"RAS101_FMRP_CLIP_Control_Control","Control Control","RAS91_FMRP_CLIP_Control_Control","Control Control",0.954318701624933,0,"***","<2.2e-16"
"RAS102_FMRP_CLIP_Control_Control","Control Control","RAS91_FMRP_CLIP_Control_Control","Control Control",0.946152036339337,0,"***","<2.2e-16"
"RAS81_FMRP_CLIP_Control_Control","Control Control","RAS91_FMRP_CLIP_Control_Control","Control Control",0.94973265484642,0,"***","<2.2e-16"
"RAS101_FMRP_CLIP_Control_Control","Control Control","RAS120_FMRP_CLIP_ChR2_5min","ChR2 5min",0.964390314669721,0,"***","<2.2e-16"
"RAS102_FMRP_CLIP_Control_Control","Control Control","RAS120_FMRP_CLIP_ChR2_5min","ChR2 5min",0.967496887382672,0,"***","<2.2e-16"
"RAS81_FMRP_CLIP_Control_Control","Control Control","RAS120_FMRP_CLIP_ChR2_5min","ChR2 5min",0.929997018808905,0,"***","<2.2e-16"
"RAS91_FMRP_CLIP_Control_Control","Control Control","RAS120_FMRP_CLIP_ChR2_5min","ChR2 5min",0.968329093225085,0,"***","<2.2e-16"
"RAS101_FMRP_CLIP_Control_Control","Control Control","RAS128_FMRP_CLIP_ChR2_5min","ChR2 5min",0.966277356968217,0,"***","<2.2e-16"
"RAS102_FMRP_CLIP_Control_Control","Control Control","RAS128_FMRP_CLIP_ChR2_5min","ChR2 5min",0.974184741792236,0,"***","<2.2e-16"
"RAS81_FMRP_CLIP_Control_Control","Control Control","RAS128_FMRP_CLIP_ChR2_5min","ChR2 5min",0.884861818668335,0,"***","<2.2e-16"
"RAS91_FMRP_CLIP_Control_Control","Control Control","RAS128_FMRP_CLIP_ChR2_5min","ChR2 5min",0.936607822693449,0,"***","<2.2e-16"
"RAS120_FMRP_CLIP_ChR2_5min","ChR2 5min","RAS128_FMRP_CLIP_ChR2_5min","ChR2 5min",0.967668448039822,0,"***","<2.2e-16"
"RAS101_FMRP_CLIP_Control_Control","Control Control","RAS132_FMRP_CLIP_ChR2_5min","ChR2 5min",0.953932035661008,0,"***","<2.2e-16"
"RAS102_FMRP_CLIP_Control_Control","Control Control","RAS132_FMRP_CLIP_ChR2_5min","ChR2 5min",0.958570055950531,0,"***","<2.2e-16"
"RAS81_FMRP_CLIP_Control_Control","Control Control","RAS132_FMRP_CLIP_ChR2_5min","ChR2 5min",0.917309253245064,0,"***","<2.2e-16"
