"Comparison","Direction","gene_name","Nuclear_GO_membership","Synaptic_GO_membership","Final_category"
"30v5","Down","Amfr",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Ccpg1",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Csf1",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Erlin1",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Insig1",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Mia3",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Slc35b2",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Srebf2",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Sun1",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Sun2",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Tgfa",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Tmed2",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Tmem201",TRUE,FALSE,"nuclear_terms"
"30v5","Down","Tmem43",TRUE,FALSE,"nuclear_terms"
"30v5","Down","2510039O18Rik",FALSE,FALSE,"other"
"30v5","Down","6530402F18Rik",FALSE,FALSE,"other"
"30v5","Down","Abcb9",FALSE,FALSE,"other"
"30v5","Down","Abhd16a",FALSE,FALSE,"other"
"30v5","Down","Acbd6",FALSE,FALSE,"other"
"30v5","Down","Ackr1",FALSE,FALSE,"other"
"30v5","Down","Acp2",FALSE,FALSE,"other"
"30v5","Down","Adamts3",FALSE,FALSE,"other"
"30v5","Down","Adamts8",FALSE,FALSE,"other"
"30v5","Down","Agpat1",FALSE,FALSE,"other"
"30v5","Down","Ak5",FALSE,FALSE,"other"
"30v5","Down","Alad",FALSE,FALSE,"other"
"30v5","Down","Alg1",FALSE,FALSE,"other"
"30v5","Down","Alg3",FALSE,FALSE,"other"
"30v5","Down","Alg9",FALSE,FALSE,"other"
"30v5","Down","Apcdd1",FALSE,FALSE,"other"
"30v5","Down","Aqp11",FALSE,FALSE,"other"
"30v5","Down","Arfgap1",FALSE,FALSE,"other"
"30v5","Down","Armh4",FALSE,FALSE,"other"
"30v5","Down","Atg9a",FALSE,FALSE,"other"
"30v5","Down","Atp9a",FALSE,FALSE,"other"
