"Comparison","Biological_category","GO_term","Gene_count","Adjusted_p_value","Negative_log10_adjusted_p_value","Plotted_negative_log10_adjusted_p_value"
"5v0_Down","nuclear","protein localization to nucleus",17,2.357795251712046e-5,4.627493911247896,4.627493911247896
"5v0_Down","nuclear","mRNA processing",20,1.1836376907223346e-4,3.9267812139979643,3.9267812139979643
"5v0_Down","nuclear","nuclear transport",15,5.69358977295523e-4,3.24461382727687,3.24461382727687
"5v0_Down","nuclear","RNA splicing",17,7.625632462859022e-4,3.1177241305072463,3.1177241305072463
"5v0_Down","nuclear","miRNA transcription",6,0.0011233689730480506,2.9494775753148743,2.9494775753148743
"5v0_Down","nuclear","regulation of DNA-binding transcription factor activity",16,0.0014864900372734613,2.827837997169881,2.827837997169881
"5v0_Down","nuclear","nuclear export",7,0.0202053889214887,1.6945327856652412,1.6945327856652412
"5v0_Down","nuclear","chromatin remodeling",14,0.022152827725000195,1.6545708298480615,1.6545708298480615
"5v0_Up","synaptic","synapse assembly",41,2.2211970808293906e-26,25.653412905963258,12
"5v0_Up","synaptic","synaptic transmission, glutamatergic",22,5.258468278639517e-14,13.279140741589575,12
"5v0_Up","synaptic","excitatory synapse assembly",13,5.630220052923074e-13,12.249474630743219,12
"5v0_Up","synaptic","protein localization to synapse",13,2.2030542686313983e-7,6.656974804584653,6.656974804584653
"5v0_Up","synaptic","calcium ion homeostasis",24,7.5707974931048e-7,6.120858370352982,6.120858370352982
"5v0_Up","synaptic","neurotransmitter secretion",16,1.136727087782706e-6,5.944343790806445,5.944343790806445
"5v0_Up","synaptic","synaptic vesicle cycle",18,2.581013835255405e-6,5.588209667459628,5.588209667459628
"5v0_Up","synaptic","regulation of synaptic plasticity",23,1.5201995595346876e-5,4.818099397636829,4.818099397636829
"30v5_Down","synaptic","synapse assembly",46,1.3060525231995205e-29,28.884039357458303,12
"30v5_Down","synaptic","excitatory synapse assembly",16,1.3482866151831983e-16,15.870217776820557,12
"30v5_Down","synaptic","protein localization to synapse",17,2.4226572076397377e-10,9.615708031740471,9.615708031740471
"30v5_Down","synaptic","neurotransmitter secretion",21,1.395763686818094e-9,8.855188104777602,8.855188104777602
"30v5_Down","synaptic","synaptic vesicle cycle",24,1.878842332553675e-9,8.72610966320704,8.72610966320704
"30v5_Down","synaptic","synaptic transmission, glutamatergic",18,2.003895680965258e-9,8.698124890769051,8.698124890769051
"30v5_Down","synaptic","calcium ion homeostasis",30,2.6120223593591526e-9,8.58302310974584,8.58302310974584
"30v5_Down","synaptic","regulation of synaptic plasticity",26,3.6745474231382518e-6,5.434796143311043,5.434796143311043
"30v5_Up","nuclear","RNA splicing",41,6.393324074556621e-15,14.194273280827439,12
"30v5_Up","nuclear","mRNA processing",40,7.849973232155215e-13,12.105131824165207,12
"30v5_Up","nuclear","protein localization to nucleus",28,1.0095385964595282e-9,8.995877072550986,8.995877072550986
"30v5_Up","nuclear","chromatin remodeling",33,7.511267653541642e-9,8.124286762266212,8.124286762266212
"30v5_Up","nuclear","nuclear transport",27,1.9073742142391853e-8,7.719564092881897,7.719564092881897
"30v5_Up","nuclear","nuclear export",15,5.715973422962232e-6,5.2429097991756235,5.2429097991756235
"30v5_Up","nuclear","regulation of DNA-binding transcription factor activity",24,2.6391036274813443e-5,4.578543556365882,4.578543556365882
"30v5_Up","nuclear","miRNA transcription",8,1.9623658604887956e-4,3.7072200202084686,3.7072200202084686
