"gene_name","Comparison","RiboTag_group","Regulation_direction","Hale_CA1_NP_vs_CB_log2FC"
"1700017B05Rik","5v0","RiboTag_Up","Up",1.3703655332669336
"1700086L19Rik","5v0","RiboTag_Down","Down",-2.6772296831746254
"2510039O18Rik","5v0","RiboTag_Up","Up",0.111590674307386
"2900079G21Rik","5v0","RiboTag_Down","Down",0.4488709019732928
"5031439G07Rik","5v0","RiboTag_Down","Down",2.2586537865885905
"Aars1","5v0","RiboTag_Up","Up",-0.15836680842016237
"Abca1","5v0","RiboTag_Up","Up",1.3315455189252388
"Abca2","5v0","RiboTag_Up","Up",0.4834873471923273
"Abcb10","5v0","RiboTag_Up","Up",1.8906337609191262
"Abcb6","5v0","RiboTag_Up","Up",-1.245748359955255
"Abcc8","5v0","RiboTag_Up","Up",-0.7655450439351209
"Abhd12","5v0","RiboTag_Up","Up",0.5802323578013521
"Abhd16a","5v0","RiboTag_Up","Up",0.2566753794005069
"Abt1","5v0","RiboTag_Down","Down",-1.5425042266457114
"Ache","5v0","RiboTag_Up","Up",0.340406299836445
"Acp2","5v0","RiboTag_Up","Up",-0.3300891790430318
"Acsl5","5v0","RiboTag_Up","Up",-1.3111094003009829
"Actr2","5v0","RiboTag_Down","Down",-1.5630825580606247
"Acvr1b","5v0","RiboTag_Up","Up",-0.9080518512037205
"Adam11","5v0","RiboTag_Up","Up",0.88774860529705
"Adam15","5v0","RiboTag_Up","Up",0.8049833768136607
"Adam23","5v0","RiboTag_Up","Up",-0.8505824332615777
"Adamts3","5v0","RiboTag_Up","Up",-1.547049669458347
"Adck2","5v0","RiboTag_Up","Up",-1.0933781479648204
"Adgrl1","5v0","RiboTag_Up","Up",1.602856022308592
"Adnp2","5v0","RiboTag_Down","Down",-0.8333692403622445
"Adra1d","5v0","RiboTag_Up","Up",-0.49470923424145974
"Aff1","5v0","RiboTag_Down","Down",0.6955835303288298
"Agpat1","5v0","RiboTag_Up","Up",0.5068204987427399
"Agrn","5v0","RiboTag_Up","Up",0.1549383627499048
"Ahcyl2","5v0","RiboTag_Up","Up",1.0745126085194143
"Ahr","5v0","RiboTag_Down","Down",-1.0884474858289659
"AI593442","5v0","RiboTag_Up","Up",-1.805970335269858
"Akirin1","5v0","RiboTag_Down","Down",-1.22091290432814
"Aldh7a1","5v0","RiboTag_Down","Down",2.214592937453641
"Alg2","5v0","RiboTag_Up","Up",-1.029105081636344
"Alg9","5v0","RiboTag_Up","Up",-0.30096774997808245
"Alox12b","5v0","RiboTag_Down","Down",-1.3864738957321807
"Amer3","5v0","RiboTag_Up","Up",-0.6441288200696466
"Amfr","5v0","RiboTag_Up","Up",0.1517134223048658
"Amigo1","5v0","RiboTag_Up","Up",-0.5340010832230765
"Anapc2","5v0","RiboTag_Down","Down",0.3115480222908452
"Ankrd13a","5v0","RiboTag_Down","Down",1.668224775381643
"Ankrd28","5v0","RiboTag_Down","Down",-0.6848306037695312
"Ankrd33b","5v0","RiboTag_Down","Down",-0.682043491099963
"Anxa11","5v0","RiboTag_Up","Up",-1.130750130345947
"Apaf1","5v0","RiboTag_Down","Down",-0.7355408350136412
"Apcdd1","5v0","RiboTag_Up","Up",2.3345244595510133
"Aplp1","5v0","RiboTag_Up","Up",1.0350524497805418
"Aplp2","5v0","RiboTag_Up","Up",0.3750679501090874
"Aqp11","5v0","RiboTag_Up","Up",1.4690026055733663
"Arf2","5v0","RiboTag_Down","Down",-1.1178482322748426
"Arhgap33","5v0","RiboTag_Down","Down",3.9095274304824015
"Arhgap39","5v0","RiboTag_Down","Down",0.9544267744605257
"Arhgef26","5v0","RiboTag_Up","Up",0.685217575864609
"Arhgef3","5v0","RiboTag_Down","Down",-1.886523858726984
"Arid4b","5v0","RiboTag_Down","Down",-0.6369540303629607
"Arid5a","5v0","RiboTag_Down","Down",2.759139453276234
"Arid5b","5v0","RiboTag_Down","Down",-0.14276435820330657
"Arl13b","5v0","RiboTag_Down","Down",0.3213794524870597
"Arl4a","5v0","RiboTag_Down","Down",-0.969490557035304
"Arl4d","5v0","RiboTag_Up","Up",1.038946446385784
"Arl5a","5v0","RiboTag_Down","Down",0.10277744421275249
"Arl6ip1","5v0","RiboTag_Up","Up",-1.1745032179851747
"Arl6ip5","5v0","RiboTag_Up","Up",-1.3478290160623845
"Armcx5","5v0","RiboTag_Down","Down",-2.1623435184872313
"Armh4","5v0","RiboTag_Up","Up",-1.261709452734904
"Arrdc3","5v0","RiboTag_Up","Up",0.3654265146750443
"Arsa","5v0","RiboTag_Up","Up",0.6089486792765609
"Arsb","5v0","RiboTag_Up","Up",-0.5528818611149894
"Arxes1","5v0","RiboTag_Down","Down",-0.8659467950734898
"Asap2","5v0","RiboTag_Down","Down",-1.3206000443601122
"Asns","5v0","RiboTag_Up","Up",-1.5517826997896393
"Asph","5v0","RiboTag_Up","Up",-0.9913046977886606
"Atf5","5v0","RiboTag_Up","Up",2.831473738073492
"Atg9a","5v0","RiboTag_Up","Up",0.20886769365771973
"Atp1a1","5v0","RiboTag_Up","Up",-0.8458961841265187
"Atp1a3","5v0","RiboTag_Up","Up",0.6920926530466857
"Atp1b1","5v0","RiboTag_Up","Up",-2.0258403576147437
"Atp1b2","5v0","RiboTag_Up","Up",1.4182158811079821
"Atp2a2","5v0","RiboTag_Up","Up",-1.2743745569674114
"Atp2b2","5v0","RiboTag_Up","Up",0.9115504762080143
"Atp2b3","5v0","RiboTag_Up","Up",-1.7763389733488266
"Atp5mk","5v0","RiboTag_Down","Down",-0.7306278925553586
"Atp6ap1","5v0","RiboTag_Up","Up",-0.6257359309828058
"Atp6v0b","5v0","RiboTag_Up","Up",-0.6822097665541625
"Atp6v0c","5v0","RiboTag_Up","Up",-1.0611499543439533
"Atrn","5v0","RiboTag_Up","Up",-1.038101680336272
"Atrnl1","5v0","RiboTag_Up","Up",-1.0044650538461148
"AU040320","5v0","RiboTag_Up","Up",0.6665885185549568
"Avl9","5v0","RiboTag_Down","Down",-0.26108576547591067
"B3galnt1","5v0","RiboTag_Up","Up",-1.8471331174836827
"B3galt5","5v0","RiboTag_Up","Up",-0.7937545995362064
"B3gat2","5v0","RiboTag_Up","Up",1.1271026033234588
"B4galnt1","5v0","RiboTag_Up","Up",0.5502926286800145
"B4galt6","5v0","RiboTag_Up","Up",-0.8103586041493933
"B4gat1","5v0","RiboTag_Up","Up",-1.4122078597033292
"Bace1","5v0","RiboTag_Up","Up",-0.3071491738318926
"Bbc3","5v0","RiboTag_Up","Up",0.21075091761904205
"BC004004","5v0","RiboTag_Up","Up",-0.5703083462626292
"Bcr","5v0","RiboTag_Down","Down",2.325490497744071
"Bdnf","5v0","RiboTag_Down","Down",-2.556416897614802
"Bex3","5v0","RiboTag_Down","Down",-1.0707223663648346
"Bhlhe40","5v0","RiboTag_Down","Down",-1.723989608844942
"Bloc1s4","5v0","RiboTag_Down","Down",-1.5380648668080152
"Bmal1","5v0","RiboTag_Down","Down",-1.2630235982520721
"Bpnt2","5v0","RiboTag_Up","Up",-0.865493128784109
"Bri3bp","5v0","RiboTag_Up","Up",0.18326711509918542
"Brwd3","5v0","RiboTag_Down","Down",-0.23420519703517118
"Bscl2","5v0","RiboTag_Up","Up",-0.2510686685798325
"Bsg","5v0","RiboTag_Up","Up",0.0981531411237338
"Btaf1","5v0","RiboTag_Down","Down",-0.8097990450845609
"Btbd10","5v0","RiboTag_Down","Down",-2.2428231491120205
"Btg2","5v0","RiboTag_Up","Up",0.28677056857633293
"Btg3","5v0","RiboTag_Down","Down",-2.7241859528892305
"C1qtnf4","5v0","RiboTag_Up","Up",1.467398482914346
"C2cd4b","5v0","RiboTag_Down","Down",-1.2361282005376835
"C2cd4c","5v0","RiboTag_Up","Up",1.3135541178450765
"Cachd1","5v0","RiboTag_Up","Up",-1.4061460578120344
"Cacna1b","5v0","RiboTag_Up","Up",-0.2542954005707037
"Cacna1c","5v0","RiboTag_Up","Up",-0.19224309467321837
"Cacna1e","5v0","RiboTag_Up","Up",-1.0213834579890086
"Cacna2d1","5v0","RiboTag_Up","Up",-2.044093118084165
"Cacng8","5v0","RiboTag_Up","Up",0.4737520792774298
"Cadm2","5v0","RiboTag_Up","Up",-0.42442086352288155
"Cadm3","5v0","RiboTag_Up","Up",-1.0309573433446075
"Cadps2","5v0","RiboTag_Down","Down",-0.07479094020440336
"Calr","5v0","RiboTag_Up","Up",-0.47460261974526574
"Camk1g","5v0","RiboTag_Down","Down",-0.19932621257791655
"Canx","5v0","RiboTag_Up","Up",-0.3216749799828103
"Car12","5v0","RiboTag_Up","Up",-1.3756186942831594
"Carf","5v0","RiboTag_Up","Up",-1.1764207106790652
"Carmil1","5v0","RiboTag_Up","Up",3.7404663595756347
"Cars1","5v0","RiboTag_Up","Up",-0.21434786381278442
"Ccbe1","5v0","RiboTag_Up","Up",-0.5809520104310176
"Ccdc120","5v0","RiboTag_Down","Down",2.68610843505182
"Ccdc184","5v0","RiboTag_Down","Down",-1.5300444823933717
"Ccdc85a","5v0","RiboTag_Down","Down",-0.4942398338832894
"Ccnd1","5v0","RiboTag_Down","Down",-0.22570345336516445
"Ccnk","5v0","RiboTag_Down","Down",-0.29703546832061206
"Cct2","5v0","RiboTag_Down","Down",-0.8370531399653448
"Cct3","5v0","RiboTag_Down","Down",-0.2644172876149497
"Cd200","5v0","RiboTag_Up","Up",-1.3052674392589445
"Cd47","5v0","RiboTag_Up","Up",-0.5479617413385329
"Cd81","5v0","RiboTag_Up","Up",2.0589409892169606
"Cdc42ep4","5v0","RiboTag_Up","Up",4.080622231926692
"Cdh2","5v0","RiboTag_Up","Up",-0.20624326461088968
"Cdipt","5v0","RiboTag_Up","Up",-0.4416068904868029
"Cdk17","5v0","RiboTag_Down","Down",-2.2680437439971084
"Cdkl4","5v0","RiboTag_Down","Down",-0.9352603366841759
"Cds2","5v0","RiboTag_Up","Up",0.39732814842566383
"Cep85l","5v0","RiboTag_Down","Down",-0.7400731638364161
"Cers6","5v0","RiboTag_Up","Up",-1.1256599721949565
"Cfap20","5v0","RiboTag_Down","Down",-1.19949106370756
"Cfap97","5v0","RiboTag_Down","Down",-0.7782759731905659
"Chac1","5v0","RiboTag_Up","Up",-2.8382396936970262
"Chd1","5v0","RiboTag_Down","Down",-0.24546283990387524
"Chka","5v0","RiboTag_Down","Down",-0.20607097634730992
"Chpf2","5v0","RiboTag_Up","Up",-0.5998111183480896
