"gene_name","noCre_rep1_log2FC","Control_Control_rep1_log2FC","Control_Control_rep2_log2FC","Control_Control_rep3_log2FC","Control_Control_rep4_log2FC","ChR2_5min_rep1_log2FC","ChR2_5min_rep2_log2FC","ChR2_5min_rep3_log2FC","ChR2_5min_rep4_log2FC","ChR2_30min_rep1_log2FC","ChR2_30min_rep2_log2FC","ChR2_30min_rep3_log2FC","ChR2_30min_rep4_log2FC"
"Neurod6",-1.28593964125157,0.97222953187307,1.05459510621047,1.36880052898341,1.31564313899479,1.22398746015589,1.23939231332412,1.68459216493845,1.40884014693746,1.13343215263267,1.55900655565387,1.39929944162079,0.941097490106574
"Camk2a",-0.80061757777501,1.027627097893,1.24709766497254,0.762490613218699,0.847470245569938,1.23594115304703,1.14012803447905,0.797250953470349,0.606906994762685,0.868978934488462,1.24952446993275,0.779278778143485,0.935022746752475
"Rbfox3",-1.35143262382056,1.54048944449939,1.69323113442247,1.40340877617981,1.49787961904566,1.75406060510747,1.67859629364359,1.72776835050797,1.40601126596313,1.49430708139084,1.78462084714088,1.27321369150982,1.39110462171878
"Snap25",-1.56664610665946,0.946397519219221,1.03059881705151,0.812521788920177,1.02275673184257,1.27097271587068,1.2530625078739,1.31147956985243,1.0310513164192,1.01916079949965,1.47236673307989,1.473931064161,1.04389865465141
"Nrgn",-1.53153143640493,1.54817313433554,1.78755945689428,1.26564939112646,1.22868762923364,1.72390998157574,1.69298799967468,1.7548097650551,1.24166893876607,1.60810938108305,1.78741101378198,1.04791721718757,1.20956798211235
"Hpca",-1.26817987877627,1.42318521782058,1.70157666521339,1.36518165684021,1.49028738805346,1.69100748073618,1.53112581653944,1.6758379539453,1.1853103759226,1.55522247487714,1.8514729641,0.944226232401764,1.07989010301655
"Crym",-1.43332954172715,1.29165614546403,1.64249456193758,1.24767640901618,1.73902442595521,1.24190092961394,1.30645709001997,1.58137552393523,1.11062769941442,1.27987910991444,1.61487424670864,0.992242264202461,1.04859058030031
"Chn1",-1.26304988260955,1.59108219368167,1.7688297477664,1.3388129941858,1.51611791851658,1.67239769812837,1.59359581059676,1.68260776976659,1.3036498488478,1.45270703075535,1.79756564341798,1.35368131375976,1.2796625169824
"Gad2",-1.55694256604282,-2.29527273495361,-2.3740888974848,-2.43803021110361,-2.50532154605345,-2.04650645140523,-2.08059042941512,-2.27681940239565,-2.41349432445773,-2.06893428451037,-1.6543675445701,-1.94046745637575,-2.5345632983496
"Sst",-1.71881592970426,-3.3204634759423,-2.9526824808904,-2.79164804766355,-3.21679581233972,-2.85058401780958,-2.87154606140121,-3.2293179674345,-3.79916410563198,-3.04026749646153,-2.70639735483578,-3.4679632008576,-2.9157845497128
"Calb2",-0.410523191832726,-1.02910005504243,-1.11422101322634,-3.10713016026306,-1.90276193472652,-1.66535631410698,-1.29845518275074,-1.99240493936714,-2.5713701103547,-1.26454680677398,-1.23447364658889,-2.51793701072567,-2.65928418434922
"Pdgfra",-0.913771055219653,-2.14245929023792,-2.1177314779126,-2.95174472294631,-2.84729878131163,-1.92613749182529,-2.63633306602368,-2.45017585084737,-2.87705901721081,-2.70243716258139,-1.8572591216164,-2.45205392780197,-3.06578892281749
"Ptprz1",-0.28390520523028,-1.64118683201384,-1.43618740689465,-1.52015103492904,-1.63786859327273,-1.13780523023937,-1.48034562040215,-1.60536151496342,-1.78318154518997,-1.57666331017829,-1.17267406573425,-0.746290293680946,-1.91147180278964
