"Subset","Detail"
"30v5_Down","Cdh13"
"30v5_Down","Lrp11"
"30v5_Down","Lamp2"
"30v5_Down","Npy"
"30v5_Down","Pam"
"30v5_Down","Cntnap1"
"30v5_Down","Gdf11"
"30v5_Down","Peds1"
"30v5_Down","Jag2"
"30v5_Down","Ephx1"
"30v5_Down","Susd1"
"30v5_Down","Tmem101"
"30v5_Down","Qsox1"
"30v5_Down","Slc27a4"
"30v5_Down","Syna"
"30v5_Down","Zdhhc9"
"30v5_Down","Pigs"
"30v5_Down","Pcdhb9"
"30v5_Down","Lamb1"
"30v5_Down","Sil1"
"30v5_Down","Sdf4"
"30v5_Down","Lrfn1"
"30v5_Down","C1ql2"
"30v5_Down","Dag1"
"30v5_Down","Pcdhgc5"
"30v5_Down","Mamstr"
"30v5_Down","Ttyh1"
"30v5_Down","Luzp2"
"30v5_Down","Ntng2"
"30v5_Down","Lrfn3"
"30v5_Down","Ncam2"
"30v5_Down","Sulf2"
"30v5_Down","Atp6v0e2"
"30v5_Down","Astn1"
"30v5_Down","Lhfpl4"
"30v5_Down","Abcb9"
"30v5_Down","Naglu"
"30v5_Down","Pcsk2"
"30v5_Down","Tmem63b"
"30v5_Down","Zfp691"
"30v5_Down","Dnajc16"
"30v5_Down","Tmem178b"
"30v5_Down","Tmem38a"
"30v5_Down","Atp9a"
"30v5_Down","Sppl3"
"30v5_Down","Aatk"
"30v5_Down","Unc5a"
"30v5_Down","H3c13"
"30v5_Down","Fads2"
"30v5_Down","Pwwp3a"
"30v5_Down","Dgke"
"30v5_Down","Tgfbr3"
"30v5_Down","D630045J12Rik"
"30v5_Down","Pcdha9"
"30v5_Down","Epha5"
"30v5_Down","Fbxo27"
"30v5_Down","Pcdhga5"
"30v5_Down","Sema3c"
"30v5_Down","Slc8a2"
"30v5_Down","Adam9"
"30v5_Down","Cdh9"
"30v5_Down","Ackr1"
"30v5_Down","Lrrc8d"
"30v5_Down","Fam78a"
"30v5_Down","Ptprn"
"30v5_Down","Slc35c1"
"30v5_Down","B4galnt4"
"30v5_Down","Hyal2"
"30v5_Down","Zfp941"
"30v5_Down","Chga"
"30v5_Down","Fzd7"
"30v5_Down","Pcdhac2"
"30v5_Down","Pafah1b3"
"30v5_Down","Mmp19"
"30v5_Down","Cspg5"
"30v5_Down","Kdelr1"
"30v5_Down","Nrxn3"
"30v5_Down","Htr5a"
"30v5_Down","C2cd2l"
"30v5_Down","Dipk1b"
"30v5_Down","Slc39a3"
"30v5_Down","Slc9a9"
"30v5_Down","Shisa4"
"30v5_Down","Susd4"
"30v5_Down","Rassf3"
"30v5_Down","Bcap29"
"30v5_Down","Tmem86a"
"30v5_Down","Tmem201"
"30v5_Down","Ptprr"
"30v5_Down","Celsr2"
"30v5_Down","Furin"
"30v5_Down","Mroh7"
"30v5_Down","Otulinl"
"30v5_Down","Nudcd3"
"30v5_Down","Gprc5c"
"30v5_Down","Abca3"
"30v5_Down","Sppl2b"
"30v5_Down","Sun1"
"30v5_Down","Daglb"
"30v5_Down","Dolk"
"30v5_Down","Sparcl1"
"30v5_Down","Acvr1c"
"30v5_Down","Pm20d2"
"30v5_Down","Sdc3"
"30v5_Down","Prss23"
"30v5_Down","Dipk1a"
"30v5_Down","Tm9sf4"
"30v5_Down","Tkt"
"30v5_Down","Ccdc136"
"30v5_Down","Sema4d"
"30v5_Down","Ifngr2"
"30v5_Down","Cacna1h"
"30v5_Down","Vash1"
"30v5_Down","Pcdhac1"
"30v5_Down","Pcdhb12"
"30v5_Down","Plxnd1"
"30v5_Down","Lrp12"
"30v5_Down","Rnaset2b"
"30v5_Down","Tubb2b"
"30v5_Down","Tex264"
"30v5_Down","Gm2a"
"30v5_Down","Arfgap1"
"30v5_Down","Pofut1"
"30v5_Down","Ndst1"
"30v5_Down","Pdyn"
"30v5_Down","Spint2"
"30v5_Down","Prr12"
"30v5_Down","Alg1"
"30v5_Down","Vangl1"
"30v5_Down","Ttyh3"
"30v5_Down","Pigk"
"30v5_Down","Dhrs7"
"30v5_Down","Neo1"
"30v5_Down","Slc26a10"
"30v5_Down","Olfm1"
"30v5_Down","Fstl1"
"30v5_Down","Bmp1"
"30v5_Down","Vit"
"30v5_Down","Nup210"
"30v5_Down","6530402F18Rik"
"30v5_Down","Adgrf5"
"30v5_Down","Sorcs3"
"30v5_Down","Rnf130"
"30v5_Down","Tmem215"
"30v5_Down","Coprs"
"30v5_Down","Abcc4"
"30v5_Down","Zfp775"
"30v5_Down","Retreg1"
"30v5_Down","Tm2d3"
"30v5_Down","Rtn1"
"30v5_Down","App"
"30v5_Down","Ptprn2"
"30v5_Down","Slc45a1"
"30v5_Down","Ntf3"
"30v5_Down","Shisa6"
"30v5_Down","Icmt"
"30v5_Down","Dnajc14"
"30v5_Down","Smpd3"
"30v5_Down","Lingo1"
"30v5_Down","Prdm16"
"30v5_Down","Cpe"
"30v5_Down","Gga2"
"30v5_Down","Smpdl3a"
"30v5_Down","Slc29a4"
"30v5_Down","Tyw1"
"30v5_Down","Emx1"
"30v5_Down","Yipf2"
"30v5_Down","Tmem115"
"30v5_Down","Mia3"
"30v5_Down","Tenm4"
"30v5_Down","Atp2c1"
"30v5_Down","Atp6ap2"
"30v5_Down","Pdia3"
"30v5_Down","Prr36"
"30v5_Down","Ptprf"
"30v5_Down","Lmbrd2"
"30v5_Down","Mesd"
"30v5_Down","Cyb561d2"
"30v5_Down","Kcna2"
"30v5_Down","Tm9sf1"
"30v5_Down","Commd5"
"30v5_Down","Atp5mc2"
"30v5_Down","Prr7"
"30v5_Down","Lman1"
"30v5_Down","Slc35e4"
"30v5_Down","Alad"
"30v5_Down","Eogt"
"30v5_Down","Lgmn"
"30v5_Down","Rtn4rl2"
"30v5_Down","Wdr13"
"30v5_Down","Eif4h"
"30v5_Down","Mpp3"
"30v5_Down","S1pr3"
"30v5_Down","Cgref1"
"30v5_Down","Uchl1"
"30v5_Down","Naga"
"30v5_Down","Pigo"
"30v5_Down","Blcap"
"30v5_Down","Lnpk"
"30v5_Down","Bloc1s5"
"30v5_Down","Uggt1"
"30v5_Down","Efna1"
"30v5_Down","Tfap4"
"30v5_Down","Eif4g1"
"30v5_Down","Sgsh"
"30v5_Down","Rcn2"
"30v5_Down","Atp8a2"
"30v5_Down","Lmbr1"
"30v5_Down","Nol3"
"30v5_Down","Emc10"
"30v5_Down","Pcdhga4"
"30v5_Down","Erlin1"
"30v5_Down","Tmem165"
"30v5_Down","Znhit2"
"30v5_Down","Zfp512b"
"30v5_Down","Ak5"
