"gene_name","Pathway_group","log2FC_5v0","pvalue_5v0","padj_5v0","log2FC_30v5","pvalue_30v5","padj_30v5","Significant_reversal","Temporal_category","Plot_category"
"Casp3","Nuclear: decreased at 5 min",-0.44876458689783294,0.0015662645139804927,0.02162165150908703,0.46187459999467395,0.009386272844452957,0.07108073781219067,FALSE,"No significant reversal","Nuclear no reversal"
"Ccnd1","Nuclear: decreased at 5 min",-0.18058007406560886,0.00193117248695289,0.02490935967956299,0.18932833240463245,0.01757731652181962,0.1078186654356152,FALSE,"No significant reversal","Nuclear no reversal"
"Cct2","Nuclear: decreased at 5 min",-0.18087559147746046,0.0016593678316075334,0.02256114074446016,0.14964332075940107,0.01737747747907111,0.10712909231821326,FALSE,"No significant reversal","Nuclear no reversal"
"Cct3","Nuclear: decreased at 5 min",-0.21072607639544996,0.0044418160968337445,0.0450813053433577,0.15533577259288595,0.15702616169716324,0.4277080265765539,FALSE,"No significant reversal","Nuclear no reversal"
"Cmtr1","Nuclear: decreased at 5 min",-0.166160418745371,0.00405842842602735,0.04246616927098705,-0.01569237326519483,0.888698663877536,0.960280833299139,FALSE,"No significant reversal","Nuclear no reversal"
"Dab2ip","Nuclear: decreased at 5 min",-0.1698126297490147,0.0011030620368638045,0.01693607607451827,0.12120626132084092,0.18285753180446443,0.4621541409512092,FALSE,"No significant reversal","Nuclear no reversal"
"Dmd","Nuclear: decreased at 5 min",-0.16827340068685412,0.0011472815955252374,0.017392660260914853,0.057035562659501673,0.5741322857579563,0.8136706822803672,FALSE,"No significant reversal","Nuclear no reversal"
"Drosha","Nuclear: decreased at 5 min",-0.2040592729343819,0.003584268388083204,0.039054795369749346,0.1277880826241016,0.19504861915562552,0.4782843213674223,FALSE,"No significant reversal","Nuclear no reversal"
"Dyrk3","Nuclear: decreased at 5 min",-0.5409380990144966,7.4622003685263445e-6,4.2009856137188153e-4,0.3372478760791927,0.024439462575784658,0.1346310403591047,FALSE,"No significant reversal","Nuclear no reversal"
"Fam53b","Nuclear: decreased at 5 min",-0.19714187132682476,5.656227311494519e-4,0.01046886318663429,0.07197952077748429,0.4323993132833162,0.7152049043224651,FALSE,"No significant reversal","Nuclear no reversal"
"Far2","Nuclear: decreased at 5 min",-0.4582789527424668,0.0012397707386810034,0.01840886685137542,0.11577547589848271,0.45880477003628184,0.7329661534122165,FALSE,"No significant reversal","Nuclear no reversal"
"Fbh1","Nuclear: decreased at 5 min",-0.2806455077105023,9.530524752455463e-4,0.015038750664130086,0.2021518429756214,0.042170854047536385,0.19281208105833075,FALSE,"No significant reversal","Nuclear no reversal"
"Fbxw7","Nuclear: decreased at 5 min",-0.22296582169083842,0.002250741580184355,0.028223046102334913,0.14988055655436358,0.03345178985246664,0.16608116467424558,FALSE,"No significant reversal","Nuclear no reversal"
"Gda","Nuclear: decreased at 5 min",-0.22611168328686826,2.2660841269329742e-5,9.590257822253133e-4,0.17258044201687991,0.14810811391722048,0.41239000034872014,FALSE,"No significant reversal","Nuclear no reversal"
"Hat1","Nuclear: decreased at 5 min",-0.40563533182202444,7.966784195941065e-4,0.013171670942637433,0.29605487178239664,0.03163883339835275,0.15966483263306933,FALSE,"No significant reversal","Nuclear no reversal"
"Hr","Nuclear: decreased at 5 min",-0.6838972752062643,1.6318354001669096e-4,0.00433999872492826,0.4860731852029897,0.010110259362322621,0.07453885928904683,FALSE,"No significant reversal","Nuclear no reversal"
"Hrh3","Nuclear: decreased at 5 min",-0.5834047187866291,5.0416493204106875e-5,0.0017466406251384332,0.2040378464619476,0.43759353184211913,0.7178187979845678,FALSE,"No significant reversal","Nuclear no reversal"
"Jade2","Nuclear: decreased at 5 min",-0.26899967599248226,7.856683185008122e-5,0.0025050999571313505,0.21895309343025476,0.007588856755435927,0.061574136690269815,FALSE,"No significant reversal","Nuclear no reversal"
"Jak1","Nuclear: decreased at 5 min",-0.2156728397908703,0.001370152075795536,0.019589912417029034,0.04835531174989056,0.6804285891689872,0.8693499200088664,FALSE,"No significant reversal","Nuclear no reversal"
"Kcnab2","Nuclear: decreased at 5 min",-0.22720097693252356,3.7388795475846e-4,0.007893271294891004,0.18568285684998437,0.0130871157513223,0.08904755187865888,FALSE,"No significant reversal","Nuclear no reversal"
