"gene_name","Control_0min_Mean_CLIPscore","Control_0min_Binding_Category","Opto_5min_Mean_CLIPscore","Opto_5min_Binding_Category","Opto_30min_Mean_CLIPscore","Opto_30min_Binding_Category"
"0610009E02Rik",1.07213204886002,"Non_target",0.931236217438815,"Non_target",0.69173605359768,"Non_target"
"0610009L18Rik",-0.42496702513953,"Non_target",-0.659534346553235,"Non_target",-0.520357737532047,"Non_target"
"0610010K14Rik",-3.01469114185379,"Non_target",-3.09049518671851,"Non_target",-2.2921813073701,"Non_target"
"0610030E20Rik",-0.446874089203778,"Non_target",-0.623951342713199,"Non_target",-0.261115775657586,"Non_target"
"0610040B10Rik",-0.419770920893218,"Non_target",-0.535711827634124,"Non_target",-0.332045829697267,"Non_target"
"1110002E22Rik",0.215490013445299,"Non_target",0.260454989917212,"Non_target",0.20109608548461,"Non_target"
"1110002L01Rik",5.57863839462822,"Stringent_target",5.10961158804489,"Stringent_target",4.39549167402155,"Stringent_target"
"1110004F10Rik",3.83894908141487,"High_binding",0.334212285048286,"Non_target",0.515034824938489,"Non_target"
"1110032F04Rik",-1.49456020932042,"Non_target",-1.64978041188642,"Non_target",-1.10583840235574,"Non_target"
"1110038B12Rik",-2.08462489133734,"Non_target",-2.11808325600415,"Non_target",-1.33225691824295,"Non_target"
"1110038F14Rik",-2.32067845140995,"Non_target",-2.39814006021385,"Non_target",-1.79221826269952,"Non_target"
"1110046J04Rik",0.264267914233001,"Non_target",0.353383118003211,"Non_target",0.404625136937192,"Non_target"
"1110059E24Rik",-2.42540689206298,"Non_target",-2.60928452524058,"Non_target",-1.90309469695788,"Non_target"
"1110059G10Rik",-2.20067619119699,"Non_target",-2.21426323221927,"Non_target",-1.67658866030575,"Non_target"
"1110065P20Rik",-2.82091514674923,"Non_target",-2.86651422598593,"Non_target",-2.28530611264765,"Non_target"
"1190005I06Rik",0.152282334998044,"Non_target",0.12022194924148,"Non_target",0.335298300982903,"Non_target"
"1300002E11Rik",-0.899110312151819,"Non_target",-0.986435572783967,"Non_target",-0.765551297304124,"Non_target"
"1500004A13Rik",-3.27764112117019,"Non_target",-3.34653889988929,"Non_target",-2.52802717543369,"Non_target"
"1500009L16Rik",-1.49568667649325,"Non_target",-1.45889915459515,"Non_target",-0.987893717125716,"Non_target"
"1500011B03Rik",-3.54839923417723,"Non_target",-3.64480609373141,"Non_target",-2.78291336627194,"Non_target"
"1500015A07Rik",-0.407057730652957,"Non_target",-0.430963284899014,"Non_target",-0.181810234994953,"Non_target"
"1600012H06Rik",-1.87460755320006,"Non_target",-1.97776875776176,"Non_target",-1.3400357661041,"Non_target"
"1600014C10Rik",-2.0285802184934,"Non_target",-2.20764943174341,"Non_target",-1.54416626235558,"Non_target"
"1600020E01Rik",-0.909981065481202,"Non_target",-0.77524991330722,"Non_target",-0.281026814829198,"Non_target"
"1600029O15Rik",0.0298955991614213,"Non_target",-0.342309968846382,"Non_target",-0.0682179909407983,"Non_target"
"1700001O22Rik",-0.587405174944488,"Non_target",-0.574048885825685,"Non_target",-0.349097841062817,"Non_target"
"1700003E16Rik",-1.74230136169476,"Non_target",-1.8340183361321,"Non_target",-1.31164831781925,"Non_target"
"1700003M07Rik",-1.50355188368501,"Non_target",-1.48862754135656,"Non_target",-0.928041852190043,"Non_target"
"1700008O03Rik",7.15758878409282,"Stringent_target",6.75687990669155,"Stringent_target",7.06022735024132,"Stringent_target"
"1700012D01Rik",0.133369076516607,"Non_target",0.0626927572868164,"Non_target",0.0783493493918838,"Non_target"
"1700016A09Rik",-0.522995925581282,"Non_target",-0.830470665583689,"Non_target",-0.587413055069301,"Non_target"
"1700017B05Rik",-1.26574358280405,"Non_target",-1.56211384953589,"Non_target",-1.03503371576365,"Non_target"
"1700019D03Rik",-0.40121550905972,"Non_target",-0.613980511154446,"Non_target",-0.145035991096425,"Non_target"
"1700025G04Rik",-2.17370014506149,"Non_target",-2.22104375372293,"Non_target",-1.56388414050549,"Non_target"
"1700028J19Rik",0.722315076953958,"Non_target",0.418688117952496,"Non_target",0.63872924108757,"Non_target"
"1700030J22Rik",-0.795133376748874,"Non_target",-0.832163230340791,"Non_target",-0.514860790980965,"Non_target"
"1700030K09Rik",-0.942862037087085,"Non_target",-0.959566595584664,"Non_target",-0.583607322408089,"Non_target"
"1700037C18Rik",-0.459839824057246,"Non_target",-0.377132789712122,"Non_target",0.209897887020919,"Non_target"
"1700048O20Rik",-0.619730445750011,"Non_target",-0.682137537412508,"Non_target",-0.25199391331595,"Non_target"
"1700063O14Rik",0.384186809504855,"Non_target",0.575877483921969,"Non_target",0.74720481231899,"Non_target"
"1700066M21Rik",-2.09179161132359,"Non_target",-2.09136997128564,"Non_target",-1.47162336908935,"Non_target"
"1700086L19Rik",-5.1480668742829,"Non_target",-4.89347072582725,"Non_target",-3.76306619988661,"Non_target"
"1700086O06Rik",-0.443559243484155,"Non_target",-0.328207471834157,"Non_target",-0.285643665289486,"Non_target"
"1700088E04Rik",-0.820443442274846,"Non_target",-0.975430072982781,"Non_target",-0.699798340909427,"Non_target"
"1700096K18Rik",0.205648648407352,"Non_target",0.172157992979871,"Non_target",0.20312956214737,"Non_target"
"1700101I11Rik",0.497739636859385,"Non_target",0.606330533835175,"Non_target",0.467566903798734,"Non_target"
"1700112D23Rik",-0.247375384220822,"Non_target",-0.176796011471853,"Non_target",0.204739480907857,"Non_target"
"1700123O20Rik",-1.61129189071601,"Non_target",-1.69734515485211,"Non_target",-1.11536830931918,"Non_target"
"1700124L16Rik",0.704176641143541,"Non_target",0.91216238031516,"Non_target",0.186342037833825,"Non_target"
"1810009A15Rik",-1.24923266925177,"Non_target",-1.26494629072033,"Non_target",-0.828372786673081,"Non_target"
"1810010H24Rik",-1.33309561234654,"Non_target",-1.53631095744132,"Non_target",-0.866006747229575,"Non_target"
"1810030O07Rik",-1.72092600643288,"Non_target",-1.75762529144783,"Non_target",-1.30603110532594,"Non_target"
"1810037I17Rik",-2.23597269468316,"Non_target",-2.21219550244891,"Non_target",-1.70941878110384,"Non_target"
"1810041H14Rik",0.587791045940367,"Non_target",0.612258745725154,"Non_target",0.45118333139889,"Non_target"
"1810044D09Rik",0.828168506541718,"Non_target",0.912151807086577,"Non_target",0.588789095684902,"Non_target"
"1810055G02Rik",-2.19097312125833,"Non_target",-2.25010801789915,"Non_target",-1.70253717077194,"Non_target"
"1810062O18Rik",-0.0371014978669067,"Non_target",-0.326506214507232,"Non_target",-0.0365693140513919,"Non_target"
"2010001A14Rik",0.2288312693022,"Non_target",0.129764839553324,"Non_target",0.67544309786537,"Non_target"
"2010315B03Rik",-1.39030628014825,"Non_target",-1.49970679123527,"Non_target",-1.03060527669298,"Non_target"
"2210016L21Rik",-3.60160017954505,"Non_target",-3.55240028496251,"Non_target",-2.90115930355669,"Non_target"
"2210406O10Rik",-0.699503730566969,"Non_target",-0.439750010717699,"Non_target",-0.35866374261553,"Non_target"
"2210408F21Rik",-1.80282880053022,"Non_target",-1.89770247785721,"Non_target",-1.37197439967723,"Non_target"
"2210408I21Rik",0.33711734509585,"Non_target",0.747472632591796,"Non_target",0.462502094005,"Non_target"
"2210416O15Rik",-1.12957131518195,"Non_target",-1.13630318808523,"Non_target",-0.710913069802249,"Non_target"
"2210418O10Rik",-0.825024608677498,"Non_target",-0.892363939571141,"Non_target",-0.707417874482054,"Non_target"
"2300009A05Rik",-2.16481339276721,"Non_target",-2.26182454294752,"Non_target",-1.71089758712271,"Non_target"
"2310002F09Rik",-1.48197838928806,"Non_target",-1.58913285391805,"Non_target",-1.15177594893819,"Non_target"
"2310009B15Rik",-1.42100732534269,"Non_target",-1.45833930057842,"Non_target",-1.17561033916044,"Non_target"
"2310010J17Rik",0.904114032045684,"Non_target",0.901691733110346,"Non_target",0.597455994378232,"Non_target"
"2310011J03Rik",-2.07249161453926,"Non_target",-2.14133058468601,"Non_target",-1.52093245438416,"Non_target"
"2310022A10Rik",-1.99907509584629,"Non_target",-2.21445502556596,"Non_target",-1.59207265578666,"Non_target"
"2310022B05Rik",-1.77960790755788,"Non_target",-1.89856129229598,"Non_target",-1.3210197527627,"Non_target"
"2310030G06Rik",0.620887826384802,"Non_target",0.53439444318365,"Non_target",0.52976436576372,"Non_target"
"2310033P09Rik",-1.75064093403288,"Non_target",-1.72053132290218,"Non_target",-1.23060233589273,"Non_target"
"2310039H08Rik",-1.16522735298425,"Non_target",-1.16983082020517,"Non_target",-0.878159273449411,"Non_target"
"2310057M21Rik",-1.94403619591978,"Non_target",-1.97336600301088,"Non_target",-1.45784370033604,"Non_target"
"2310061I04Rik",-2.31632548405146,"Non_target",-2.11062474597156,"Non_target",-1.61205919381066,"Non_target"
"2310069G16Rik",-0.867504165430281,"Non_target",-0.806415008006363,"Non_target",-0.58878142963184,"Non_target"
"2410002F23Rik",-2.83139072076843,"Non_target",-2.81019191998391,"Non_target",-2.18711087412989,"Non_target"
"2410004B18Rik",-2.36071265310954,"Non_target",-2.30075499656399,"Non_target",-1.77778688485867,"Non_target"
"2410006H16Rik",-3.10517549318356,"Non_target",-2.8628682074031,"Non_target",-2.16852447800797,"Non_target"
"2410018L13Rik",-0.695176589281405,"Non_target",-0.831577148497119,"Non_target",-0.437225974344652,"Non_target"
"2410022M11Rik",0.0811513348066482,"Non_target",-0.166769047364265,"Non_target",0.110924476916753,"Non_target"
"2500004C02Rik",-1.4740927621721,"Non_target",-1.47286988216911,"Non_target",-1.22485313943937,"Non_target"
"2510002D24Rik",-1.62860286025151,"Non_target",-1.74523956723559,"Non_target",-1.28122969690541,"Non_target"
