"Comparison","Biological_category","GO_term","Gene_count","P_value","Negative_log10_p_value","Plotted_negative_log10_p_value"
"30v5_Down","nuclear","RNA splicing",12,0.00821537052007978,2.0853728447429387,2.0853728447429387
"30v5_Down","nuclear","chromatin remodeling",13,0.00633681012341276,2.198129305907666,2.198129305907666
"30v5_Down","nuclear","histone modification",6,0.014210801745908382,1.8473814193278784,1.8473814193278784
"30v5_Down","nuclear","protein localization to nucleus",9,0.019989217432621272,1.699204207950266,1.699204207950266
"30v5_Up","synaptic","calcium ion transport",28,3.527577932715643e-13,12.452523382853702,12
"30v5_Up","synaptic","cognition",32,1.612389406449363e-19,18.792530063865364,12
"30v5_Up","synaptic","receptor internalization",14,1.0971582634444215e-9,8.959730721574743,8.959730721574743
"30v5_Up","synaptic","regulation of synaptic plasticity",30,6.792808085310791e-17,16.167950655196982,12
"30v5_Up","synaptic","synaptic vesicle cycle",26,5.663015429959406e-19,18.24695225505419,12
"30v5_Up","synaptic","vesicle-mediated transport in synapse",28,2.476730425110273e-19,18.606121260777194,12
"5v0_Down","synaptic","cognition",9,1.780584060393856e-4,3.749437518702197,3.749437518702197
"5v0_Down","synaptic","receptor internalization",4,0.008624194137087093,2.0642814757523413,2.0642814757523413
"5v0_Down","synaptic","synaptic vesicle cycle",9,4.276119252226507e-6,5.3689501917088736,5.3689501917088736
"5v0_Down","synaptic","vesicle-mediated transport in synapse",10,2.027196581755792e-6,5.693104134764229,5.693104134764229
"5v0_Up","nuclear","histone modification",4,0.006711678345094374,2.1731688650962075,2.1731688650962075
"5v0_Up","nuclear","nuclear transport",6,0.006021162071837091,2.2203196827152554,2.2203196827152554
"5v0_Up","nuclear","protein localization to nucleus",5,0.018517851950767033,1.732409392385914,1.732409392385914
"5v0_Up","nuclear","regulation of chromatin organization",3,0.0019086262789880725,2.719279100868974,2.719279100868974
