"Subset","Detail"
"30v5_CLIP_Down_RT_Down","Aars1"
"30v5_CLIP_Down_RT_Down","Acsl6"
"30v5_CLIP_Down_RT_Down","Atp6v0a1"
"30v5_CLIP_Down_RT_Down","Bpnt2"
"30v5_CLIP_Down_RT_Down","Car10"
"30v5_CLIP_Down_RT_Down","Chpf"
"30v5_CLIP_Down_RT_Down","Chrnb2"
"30v5_CLIP_Down_RT_Down","Ephx1"
"30v5_CLIP_Down_RT_Down","Evc2"
"30v5_CLIP_Down_RT_Down","Fads1"
"30v5_CLIP_Down_RT_Down","Gpat4"
"30v5_CLIP_Down_RT_Down","Ikzf4"
"30v5_CLIP_Down_RT_Down","Lgi2"
"30v5_CLIP_Down_RT_Down","Lhfpl2"
"30v5_CLIP_Down_RT_Down","Pnkd"
"30v5_CLIP_Down_RT_Down","Psat1"
"30v5_CLIP_Down_RT_Down","Retreg2"
"30v5_CLIP_Down_RT_Down","Tmbim6"
"30v5_CLIP_Down_RT_Down","Txndc16"
"30v5_CLIP_Down_RT_Down","Uggt1"
"30v5_CLIP_Down_RT_Down","Zfp46"
"30v5_CLIP_Down_RT_Down_5v0_CLIP_Up_RT_Up","Glce"
"30v5_CLIP_Down_RT_Down_5v0_CLIP_Up_RT_Up","Lpl"
"30v5_CLIP_Down_RT_Up","Aldoc"
"30v5_CLIP_Down_RT_Up","Atf4"
"30v5_CLIP_Down_RT_Up","Bbs7"
"30v5_CLIP_Down_RT_Up","Bsdc1"
"30v5_CLIP_Down_RT_Up","Cep20"
"30v5_CLIP_Down_RT_Up","Chd1"
"30v5_CLIP_Down_RT_Up","Cnot6l"
"30v5_CLIP_Down_RT_Up","Cpne3"
"30v5_CLIP_Down_RT_Up","Cstf2t"
"30v5_CLIP_Down_RT_Up","Cttnbp2nl"
"30v5_CLIP_Down_RT_Up","Dhx32"
"30v5_CLIP_Down_RT_Up","Dyrk2"
"30v5_CLIP_Down_RT_Up","Dyrk3"
"30v5_CLIP_Down_RT_Up","Efnb2"
"30v5_CLIP_Down_RT_Up","Elk4"
"30v5_CLIP_Down_RT_Up","Etv1"
"30v5_CLIP_Down_RT_Up","Exoc1"
"30v5_CLIP_Down_RT_Up","Gabpa"
"30v5_CLIP_Down_RT_Up","Gcnt2"
"30v5_CLIP_Down_RT_Up","Hectd2"
"30v5_CLIP_Down_RT_Up","Ino80e"
"30v5_CLIP_Down_RT_Up","Ints13"
"30v5_CLIP_Down_RT_Up","Iqgap1"
"30v5_CLIP_Down_RT_Up","Jak2"
"30v5_CLIP_Down_RT_Up","Kansl3"
"30v5_CLIP_Down_RT_Up","Kcnj16"
"30v5_CLIP_Down_RT_Up","Kdm1b"
"30v5_CLIP_Down_RT_Up","Lpin1"
"30v5_CLIP_Down_RT_Up","Lratd1"
"30v5_CLIP_Down_RT_Up","Lrch2"
"30v5_CLIP_Down_RT_Up","Nfkbiz"
"30v5_CLIP_Down_RT_Up","Odc1"
"30v5_CLIP_Down_RT_Up","Osgin2"
"30v5_CLIP_Down_RT_Up","Phf6"
"30v5_CLIP_Down_RT_Up","Plcl1"
"30v5_CLIP_Down_RT_Up","Psme3"
"30v5_CLIP_Down_RT_Up","Ptgs2"
"30v5_CLIP_Down_RT_Up","Rab5a"
"30v5_CLIP_Down_RT_Up","Rel"
"30v5_CLIP_Down_RT_Up","Rora"
"30v5_CLIP_Down_RT_Up","Rpl5"
"30v5_CLIP_Down_RT_Up","Scyl2"
