"Comparison",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","significance"
"30v5","CH_NPvsCB_log2FC","CLIP_Bound_30v5","CLIP_Down_RT_Down_30v5",497,23,5859,0.839,0.839,"ns","0.839"
"30v5","CH_NPvsCB_log2FC","CLIP_Bound_30v5","CLIP_Down_RT_Up_30v5",497,62,19255,0.001,0.007,"**","0.007"
"30v5","CH_NPvsCB_log2FC","CLIP_Bound_30v5","CLIP_Up_RT_Down_30v5",497,63,20140,2.1e-4,0.002,"**","0.002"
"30v5","CH_NPvsCB_log2FC","CLIP_Bound_30v5","CLIP_Up_RT_Up_30v5",497,20,6452,0.024,0.079,"ns","0.079"
"30v5","CH_NPvsCB_log2FC","CLIP_Down_RT_Down_30v5","CLIP_Up_RT_Down_30v5",23,63,942,0.034,0.086,"ns","0.086"
"30v5","CH_NPvsCB_log2FC","CLIP_Down_RT_Down_30v5","CLIP_Up_RT_Up_30v5",23,20,297,0.106,0.177,"ns","0.177"
"30v5","CH_NPvsCB_log2FC","CLIP_Down_RT_Up_30v5","CLIP_Down_RT_Down_30v5",62,23,531,0.073,0.145,"ns","0.145"
"30v5","CH_NPvsCB_log2FC","CLIP_Down_RT_Up_30v5","CLIP_Up_RT_Down_30v5",62,63,2048,0.641,0.801,"ns","0.801"
"30v5","CH_NPvsCB_log2FC","CLIP_Down_RT_Up_30v5","CLIP_Up_RT_Up_30v5",62,20,665,0.631,0.801,"ns","0.801"
"30v5","CH_NPvsCB_log2FC","CLIP_Up_RT_Up_30v5","CLIP_Up_RT_Down_30v5",20,63,606,0.802,0.839,"ns","0.839"
"5v0","CH_NPvsCB_log2FC","CLIP_Bound_5v0","CLIP_Down_RT_Down_5v0",196,16,1271,0.209,0.299,"ns","0.299"
"5v0","CH_NPvsCB_log2FC","CLIP_Bound_5v0","CLIP_Down_RT_Up_5v0",196,44,4419,0.798,0.798,"ns","0.798"
"5v0","CH_NPvsCB_log2FC","CLIP_Bound_5v0","CLIP_Up_RT_Down_5v0",196,26,2720,0.577,0.721,"ns","0.721"
"5v0","CH_NPvsCB_log2FC","CLIP_Bound_5v0","CLIP_Up_RT_Up_5v0",196,9,1252,0.034,0.168,"ns","0.168"
"5v0","CH_NPvsCB_log2FC","CLIP_Down_RT_Down_5v0","CLIP_Up_RT_Down_5v0",16,26,265,0.145,0.242,"ns","0.242"
"5v0","CH_NPvsCB_log2FC","CLIP_Down_RT_Down_5v0","CLIP_Up_RT_Up_5v0",16,9,118,0.008,0.08,"ns","0.08"
"5v0","CH_NPvsCB_log2FC","CLIP_Down_RT_Up_5v0","CLIP_Down_RT_Down_5v0",44,16,264,0.145,0.242,"ns","0.242"
"5v0","CH_NPvsCB_log2FC","CLIP_Down_RT_Up_5v0","CLIP_Up_RT_Down_5v0",44,26,609,0.659,0.732,"ns","0.732"
"5v0","CH_NPvsCB_log2FC","CLIP_Down_RT_Up_5v0","CLIP_Up_RT_Up_5v0",44,9,279,0.056,0.185,"ns","0.185"
"5v0","CH_NPvsCB_log2FC","CLIP_Up_RT_Up_5v0","CLIP_Up_RT_Down_5v0",9,26,75,0.119,0.242,"ns","0.242"
