"Overlap","gene_name","Nuclear_GO_membership","Synaptic_GO_membership","Final_category"
"30v5_Down","Aars1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Acsl6",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Ahnak",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Anapc4",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Apoe",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Atf4",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Ccnt1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Ccsap",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Cep97",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Chd1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Chrnb2",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Clpx",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Clu",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Cnot6l",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Cnp",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Crebzf",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Cstf2t",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Ctnna1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Dctn2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Dhx29",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Dlg1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Dot1l",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Dyrk2",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Dyrk3",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Eloa",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Flcn",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Foxo4",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Gpam",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Gpat4",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Grsf1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Gspt1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Hecw2",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Hnrnpk",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Il1a",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Ints13",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Jak2",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Kansl3",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Kars1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Kat2b",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Kdm1b",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Lpin1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Lrp8",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Lsm14a",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Map9",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Me1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Mfap1a",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Mfsd14a",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Msh3",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Msh6",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Mturn",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Ndufv2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Nfkbia",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Nfkbiz",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Niban2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Nlrp3",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Notch1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Pank3",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Pdgfra",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Pfas",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Pla2g7",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Prpf4b",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Psme4",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Ptgs2",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Rad23a",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Rangap1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Rbck1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Rnf2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Rnf34",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Rora",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Rpl5",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Rtraf",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Scrib",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Sf1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Sidt2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Slc25a16",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Slx4",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Smc4",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Smg8",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Sox4",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Spty2d1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Srebf1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Ssb",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Stag2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Stat1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Tasor2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Tcp1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Tdrd7",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Tead1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Tgs1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Tlr3",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Tmbim6",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Traf6",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Txnl4a",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Vegfa",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Wrnip1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Yeats2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Zbtb1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Zc3hav1",TRUE,TRUE,"nuclear_terms"
"30v5_Down","Zfp36",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Zfp36l1",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Zrsr2",TRUE,FALSE,"nuclear_terms"
"30v5_Down","Adamts4",FALSE,FALSE,"other"
"30v5_Down","Afg3l1",FALSE,FALSE,"other"
"30v5_Down","Aldoc",FALSE,FALSE,"other"
"30v5_Down","Amz1",FALSE,FALSE,"other"
"30v5_Down","Ank1",FALSE,FALSE,"other"
"30v5_Down","Arap2",FALSE,FALSE,"other"
"30v5_Down","Arhgap29",FALSE,FALSE,"other"
"30v5_Down","Baz2b",FALSE,FALSE,"other"
"30v5_Down","Bnip3l",FALSE,FALSE,"other"
"30v5_Down","Bpnt2",FALSE,FALSE,"other"
