"Subset","Detail"
"30v5_Down","Aars1"
"30v5_Down","Acsl6"
"30v5_Down","Adamts4"
"30v5_Down","Afg3l1"
"30v5_Down","Ahnak"
"30v5_Down","Aldh2"
"30v5_Down","Aldoc"
"30v5_Down","Amz1"
"30v5_Down","Anapc4"
"30v5_Down","Ank1"
"30v5_Down","Ankrd13b"
"30v5_Down","Anks1"
"30v5_Down","Apoe"
"30v5_Down","Arap2"
"30v5_Down","Arhgap29"
"30v5_Down","Atf4"
"30v5_Down","Atp6v0a1"
"30v5_Down","Bag1"
"30v5_Down","Baz2b"
"30v5_Down","Bhlhb9"
"30v5_Down","Bnip3l"
"30v5_Down","Bpnt2"
"30v5_Down","Brap"
"30v5_Down","Bsdc1"
"30v5_Down","Cab39l"
"30v5_Down","Capn2"
"30v5_Down","Car10"
"30v5_Down","Ccdc141"
"30v5_Down","Ccdc50"
"30v5_Down","Ccng2"
"30v5_Down","Ccnt1"
"30v5_Down","Ccsap"
"30v5_Down","Cd164"
"30v5_Down","Cep131"
"30v5_Down","Cep20"
"30v5_Down","Cep350"
"30v5_Down","Cep97"
"30v5_Down","Chd1"
"30v5_Down","Chpf"
"30v5_Down","Chrnb2"
"30v5_Down","Chsy1"
"30v5_Down","Clpx"
"30v5_Down","Clu"
"30v5_Down","Cnih4"
"30v5_Down","Cnot6l"
"30v5_Down","Cnp"
"30v5_Down","Cox7c"
"30v5_Down","Cpne3"
"30v5_Down","Cpt1a"
"30v5_Down","Cramp1"
"30v5_Down","Crebzf"
"30v5_Down","Cstf2t"
"30v5_Down","Ctnna1"
"30v5_Down","Cttnbp2nl"
"30v5_Down","Dctn2"
"30v5_Down","Ddx42"
"30v5_Down","Ddx50"
"30v5_Down","Dhx29"
"30v5_Down","Dhx32"
"30v5_Down","Dlg1"
"30v5_Down","Dot1l"
"30v5_Down","Dst"
"30v5_Down","Dyrk2"
"30v5_Down","Dyrk3"
"30v5_Down","Edrf1"
"30v5_Down","Efnb2"
"30v5_Down","Elf1"
"30v5_Down","Elk4"
"30v5_Down","Eloa"
"30v5_Down","Ephx1"
"30v5_Down","Erp44"
"30v5_Down","Etv1"
"30v5_Down","Ewsr1"
"30v5_Down","Exoc1"
"30v5_Down","Fads1"
"30v5_Down","Fam76a"
"30v5_Down","Farp1"
"30v5_Down","Fbxo10"
"30v5_Down","Fbxo30"
"30v5_Down","Fbxo38"
"30v5_Down","Fbxo45"
"30v5_Down","Fchsd2"
"30v5_Down","Fgd6"
"30v5_Down","Fgfr1op2"
"30v5_Down","Fkbp4"
"30v5_Down","Flcn"
"30v5_Down","Foxo1"
"30v5_Down","Foxo4"
"30v5_Down","Foxo6"
"30v5_Down","Gab2"
"30v5_Down","Gabpa"
"30v5_Down","Galnt1"
"30v5_Down","Gas2l1"
"30v5_Down","Gcnt2"
"30v5_Down","Gjc3"
"30v5_Down","Gls"
"30v5_Down","Gpam"
"30v5_Down","Gpat4"
"30v5_Down","Grsf1"
"30v5_Down","Gspt1"
"30v5_Down","Hapln1"
"30v5_Down","Hccs"
"30v5_Down","Heatr6"
"30v5_Down","Hectd2"
"30v5_Down","Hecw2"
"30v5_Down","Hip1r"
"30v5_Down","Hnrnpk"
"30v5_Down","Hsdl2"
"30v5_Down","Ikzf4"
"30v5_Down","Il1a"
"30v5_Down","Il1r1"
"30v5_Down","Ints13"
"30v5_Down","Iqgap1"
"30v5_Down","Itgb1"
"30v5_Down","Itgb8"
"30v5_Down","Itpr2"
"30v5_Down","Jak2"
"30v5_Down","Jmjd4"
"30v5_Down","Kansl3"
"30v5_Down","Kars1"
"30v5_Down","Kat2b"
"30v5_Down","Kcnj10"
"30v5_Down","Kcnj16"
"30v5_Down","Kdm1b"
"30v5_Down","Kifc3"
"30v5_Down","Lancl2"
"30v5_Down","Lgi2"
"30v5_Down","Lhfpl2"
"30v5_Down","Lpin1"
"30v5_Down","Lratd1"
"30v5_Down","Lrch2"
"30v5_Down","Lrig1"
"30v5_Down","Lrp8"
"30v5_Down","Lsm14a"
"30v5_Down","Macf1"
"30v5_Down","Map6"
"30v5_Down","Map9"
"30v5_Down","Mapkbp1"
"30v5_Down","Marchf5"
"30v5_Down","Mcf2l"
"30v5_Down","Me1"
"30v5_Down","Mfap1a"
"30v5_Down","Mfap3l"
"30v5_Down","Mfsd14a"
"30v5_Down","Mfsd14b"
"30v5_Down","Mib1"
"30v5_Down","Mkks"
"30v5_Down","Mlf2"
"30v5_Down","Msh3"
"30v5_Down","Msh6"
"30v5_Down","Msi2"
"30v5_Down","Mtmr4"
"30v5_Down","Mturn"
"30v5_Down","Mtx3"
"30v5_Down","Myh14"
"30v5_Down","Myh9"
"30v5_Down","Nab1"
"30v5_Down","Nbeal1"
"30v5_Down","Ndrg1"
"30v5_Down","Ndufv2"
"30v5_Down","Nfkbia"
"30v5_Down","Nfkbiz"
"30v5_Down","Nfx1"
"30v5_Down","Niban2"
"30v5_Down","Nlrp3"
"30v5_Down","Nnat"
"30v5_Down","Notch1"
"30v5_Down","Nr1d2"
"30v5_Down","Nyap1"
"30v5_Down","Odc1"
"30v5_Down","Osgin2"
"30v5_Down","Oxnad1"
"30v5_Down","Pank3"
"30v5_Down","Paqr4"
"30v5_Down","Pbx2"
"30v5_Down","Pcyt1b"
"30v5_Down","Pdcd4"
"30v5_Down","Pdgfra"
"30v5_Down","Pfas"
"30v5_Down","Phf6"
"30v5_Down","Pla2g7"
"30v5_Down","Plaa"
"30v5_Down","Plagl1"
"30v5_Down","Plcl1"
"30v5_Down","Plxnb1"
"30v5_Down","Pnkd"
"30v5_Down","Pogk"
"30v5_Down","Polr2b"
"30v5_Down","Ppp6c"
"30v5_Down","Ppp6r3"
"30v5_Down","Prkaa2"
"30v5_Down","Prkab2"
"30v5_Down","Prpf4b"
"30v5_Down","Psat1"
"30v5_Down","Psme3"
"30v5_Down","Psme4"
"30v5_Down","Ptgs2"
"30v5_Down","Ptprd"
"30v5_Down","Qser1"
"30v5_Down","Rab39b"
"30v5_Down","Rab5a"
"30v5_Down","Rad23a"
"30v5_Down","Rangap1"
"30v5_Down","Rasa3"
"30v5_Down","Rbck1"
"30v5_Down","Rdx"
"30v5_Down","Rel"
"30v5_Down","Retreg2"
"30v5_Down","Retreg3"
"30v5_Down","Rnf2"
"30v5_Down","Rnf214"
"30v5_Down","Rnf34"
"30v5_Down","Rora"
"30v5_Down","Rpl22"
"30v5_Down","Rpl5"
"30v5_Down","Rps6ka3"
"30v5_Down","Rsbn1l"
"30v5_Down","Rtraf"
"30v5_Down","Rusc1"
"30v5_Down","Sall1"
"30v5_Down","Scrib"
"30v5_Down","Scrn1"
"30v5_Down","Scyl2"
"30v5_Down","Sec24a"
"30v5_Down","Selenoi"
"30v5_Down","Sesn1"
"30v5_Down","Sf1"
"30v5_Down","Sh3bp5"
"30v5_Down","Sidt2"
"30v5_Down","Slc19a2"
"30v5_Down","Slc25a16"
"30v5_Down","Slc39a12"
"30v5_Down","Slc41a1"
"30v5_Down","Slc6a1"
"30v5_Down","Slmap"
"30v5_Down","Slx4"
"30v5_Down","Smc4"
"30v5_Down","Smg8"
"30v5_Down","Snx1"
"30v5_Down","Snx18"
"30v5_Down","Socs3"
"30v5_Down","Sox4"
"30v5_Down","Spty2d1"
"30v5_Down","Srebf1"
"30v5_Down","Srrm3"
"30v5_Down","Ssb"
"30v5_Down","St8sia4"
"30v5_Down","Stag2"
"30v5_Down","Stambp"
"30v5_Down","Stat1"
"30v5_Down","Stip1"
