"gene_name","comparison","log2FC","pvalue","significance_status","labeled","label_direction"
"1110002L01Rik","5v0",-0.469026806583328,0.230696699522356,"NS","No","Not_labeled"
"1110004F10Rik","5v0",-3.50473679636659,0.0432261322307975,"CLIP_Down","No","Not_labeled"
"1700008O03Rik","5v0",-0.400708877401269,0.424482493977691,"NS","No","Not_labeled"
"2210408I21Rik","5v0",0.410355287495945,0.247809999573638,"NS","No","Not_labeled"
"2900026A02Rik","5v0",-0.247130472114176,0.348231303621907,"NS","No","Not_labeled"
"4833420G17Rik","5v0",1.57674637938899,0.125263996963297,"NS","No","Not_labeled"
"4833439L19Rik","5v0",-0.540399874488511,0.470975793466366,"NS","No","Not_labeled"
"5031439G07Rik","5v0",-0.55570624198689,0.0513833255180238,"NS","No","Not_labeled"
"5730455P16Rik","5v0",2.0436418968746,0.206350857577032,"NS","No","Not_labeled"
"6430548M08Rik","5v0",0.474214756005614,0.00955098609501244,"CLIP_Up","No","Not_labeled"
"9330159F19Rik","5v0",1.69550571669723,0.267391753709821,"NS","No","Not_labeled"
"9530068E07Rik","5v0",2.7886909652072,0.184996080881188,"NS","No","Not_labeled"
"9930021J03Rik","5v0",-0.278536578922158,0.474025730067594,"NS","No","Not_labeled"
"A830018L16Rik","5v0",-0.671991723116601,0.444700882550456,"NS","No","Not_labeled"
"Aak1","5v0",-0.117897714919144,0.348735711590525,"NS","No","Not_labeled"
"Aamp","5v0",5.74558618808492,0.00903370293412095,"CLIP_Up","No","Not_labeled"
"Aatk","5v0",0.880649475165637,0.145171927892666,"NS","No","Not_labeled"
"Abat","5v0",0.46139849080191,0.413646944774392,"NS","No","Not_labeled"
"Abca1","5v0",0.235728535828013,0.521183826375273,"NS","No","Not_labeled"
"Abca2","5v0",-0.415335802419126,0.0974561671220569,"NS","No","Not_labeled"
"Abca3","5v0",1.10404480605811,0.43462377885752,"NS","No","Not_labeled"
"Abca5","5v0",-1.6537372833021,0.0213201935256772,"CLIP_Down","No","Not_labeled"
"Abcb7","5v0",1.04238411001925,0.28186858092402,"NS","No","Not_labeled"
"Abcc5","5v0",1.14698613351438,0.237297567397602,"NS","No","Not_labeled"
"Abcd2","5v0",0.911936837107621,0.466465831096067,"NS","No","Not_labeled"
"Abcd3","5v0",1.37735222887577,0.217246959712058,"NS","No","Not_labeled"
"Abce1","5v0",0.0856863497724527,0.866224469622788,"NS","No","Not_labeled"
"Abcg1","5v0",-0.00585491051543685,0.99285756591961,"NS","No","Not_labeled"
"Abhd12","5v0",-0.0945772888720809,0.907014604451486,"NS","No","Not_labeled"
"Abhd17a","5v0",-0.361224514163677,0.271736296189952,"NS","No","Not_labeled"
"Abhd17c","5v0",1.14271224586869,0.335044096316968,"NS","No","Not_labeled"
"Abhd2","5v0",0.833347101343186,0.209399015346451,"NS","No","Not_labeled"
"Abhd8","5v0",-0.0320407451769507,0.908476737924018,"NS","No","Not_labeled"
"Abi2","5v0",-0.339253231299401,0.139023690699248,"NS","No","Not_labeled"
"Abitram","5v0",-0.331876498862491,0.710913375197501,"NS","No","Not_labeled"
"Abl1","5v0",-0.0570901504116108,0.889673747400872,"NS","No","Not_labeled"
"Abl2","5v0",-0.260000774453645,0.11319884920944,"NS","No","Not_labeled"
"Ablim1","5v0",0.089949591535645,0.760032325678388,"NS","No","Not_labeled"
"Ablim3","5v0",-1.33587034421656,0.182535761599744,"NS","No","Not_labeled"
"Abr","5v0",0.119772303865417,0.563857293386507,"NS","No","Not_labeled"
"Acaca","5v0",0.300652748175804,0.516363162680554,"NS","No","Not_labeled"
"Acadsb","5v0",-0.6044422106211,0.0489561265925985,"CLIP_Down","No","Not_labeled"
"Acadvl","5v0",2.45608995519695,0.124538414340425,"NS","No","Not_labeled"
"Acap2","5v0",-0.130282783202339,0.780325797245393,"NS","No","Not_labeled"
"Acap3","5v0",-0.35964715626601,0.447979856388601,"NS","No","Not_labeled"
"Acbd5","5v0",0.153781524128004,0.636687956450363,"NS","No","Not_labeled"
"Ace","5v0",0.405945231339053,0.796878334930254,"NS","No","Not_labeled"
"Acer3","5v0",0.901629008074938,0.451368814829163,"NS","No","Not_labeled"
"Acin1","5v0",1.61161051069516,0.208208073933751,"NS","No","Not_labeled"
"Acly","5v0",0.214239006413408,0.642504335550678,"NS","No","Not_labeled"
"Aco2","5v0",-0.267254171191311,0.264710659000799,"NS","No","Not_labeled"
"Acox1","5v0",-0.302701701722611,0.356666008029713,"NS","No","Not_labeled"
"Acp1","5v0",3.06423944139769,0.045070332303266,"CLIP_Up","No","Not_labeled"
"Acsbg1","5v0",1.1993468640836,0.375384935571197,"NS","No","Not_labeled"
"Acsl1","5v0",0.197840275251344,0.718727365972836,"NS","No","Not_labeled"
"Acsl3","5v0",0.425328550634121,0.544477569534808,"NS","No","Not_labeled"
"Acsl4","5v0",-0.241030910308474,0.746246711420412,"NS","No","Not_labeled"
"Acsl5","5v0",-1.4642554109931,0.229711776110698,"NS","No","Not_labeled"
"Acsl6","5v0",2.64984954974685,0.0834619696703935,"NS","No","Not_labeled"
"Actb","5v0",-0.19177836214988,0.532398327375104,"NS","No","Not_labeled"
"Actg1","5v0",-0.411887521509132,0.0281291024557194,"CLIP_Down","Yes","Decreased"
"Actn1","5v0",-1.14226541661448,0.0485704450272288,"CLIP_Down","No","Not_labeled"
"Actn4","5v0",-1.49827036775357,0.0650485756941244,"NS","No","Not_labeled"
"Actr10","5v0",-1.39934450620255,0.295760842786798,"NS","No","Not_labeled"
"Actr1a","5v0",-0.244053278941733,0.590105637010621,"NS","No","Not_labeled"
"Actr1b","5v0",-0.271191144073323,0.442674532057154,"NS","No","Not_labeled"
"Actr2","5v0",-0.25053199824644,0.508733518979865,"NS","No","Not_labeled"
"Actr3","5v0",0.102296449559199,0.702217230007945,"NS","No","Not_labeled"
"Actr3b","5v0",-0.0363570925563991,0.900464569901067,"NS","No","Not_labeled"
"Acvr1b","5v0",-1.01689871583315,0.0509720589741511,"NS","No","Not_labeled"
"Adam10","5v0",0.767396072948075,0.535030674815956,"NS","No","Not_labeled"
"Adam11","5v0",-1.02515880892,0.105643325403813,"NS","No","Not_labeled"
"Adam23","5v0",0.081390571606385,0.798085017815759,"NS","No","Not_labeled"
"Adam9","5v0",0.696551083514322,0.304587406344544,"NS","No","Not_labeled"
"Adamts4","5v0",0.16184583036995,0.736922710834016,"NS","No","Not_labeled"
"Adap1","5v0",-0.826239604261771,0.402972964324369,"NS","No","Not_labeled"
"Adar","5v0",-1.47523839154306,0.396216497780287,"NS","No","Not_labeled"
"Adarb2","5v0",0.355337077495499,0.624658185347612,"NS","No","Not_labeled"
"Adcy1","5v0",-0.37749362846724,0.23679334186498,"NS","No","Not_labeled"
"Adcy2","5v0",0.708527238464713,0.373648526262697,"NS","No","Not_labeled"
"Adcy5","5v0",-0.59603242314671,0.254658264233198,"NS","No","Not_labeled"
"Adcy8","5v0",-1.06703520204191,0.0801926268744518,"NS","No","Not_labeled"
"Adcy9","5v0",-0.646157137874138,0.0962780282055723,"NS","No","Not_labeled"
"Add1","5v0",0.250785644041045,0.662100914685597,"NS","No","Not_labeled"
"Add2","5v0",0.170779610434103,0.404859332454416,"NS","No","Not_labeled"
"Add3","5v0",-0.0855167066019664,0.818439043607382,"NS","No","Not_labeled"
"Adgrb1","5v0",-0.218070205800023,0.715161501527414,"NS","No","Not_labeled"
"Adgrb3","5v0",0.495709127066476,0.329831153975627,"NS","No","Not_labeled"
"Adgrg1","5v0",-4.77869423839776,2.93457392387007e-06,"CLIP_Down","No","Not_labeled"
"Adgrl1","5v0",-0.0357883512722781,0.878794841390536,"NS","No","Not_labeled"
"Adgrl2","5v0",-0.0785575838267452,0.799762064648006,"NS","No","Not_labeled"
"Adipor1","5v0",1.45761170380527,0.360499084500281,"NS","No","Not_labeled"
"Adnp","5v0",0.297561360550926,0.370987710716307,"NS","No","Not_labeled"
"Adnp2","5v0",-0.594335035363147,0.370879004050661,"NS","No","Not_labeled"
"Ado","5v0",0.00444001057598076,0.991128413714195,"NS","No","Not_labeled"
"Adora1","5v0",-0.078907783135846,0.658516699698392,"NS","No","Not_labeled"
"Aebp2","5v0",1.12159829069536,0.402594128461643,"NS","No","Not_labeled"
"Afdn","5v0",-0.228947058811103,0.637762117828109,"NS","No","Not_labeled"
"Aff1","5v0",1.38003660756002,0.269846601561853,"NS","No","Not_labeled"
"Aff3","5v0",0.159634696125433,0.493149019932689,"NS","No","Not_labeled"
"Aff4","5v0",-0.0449172387477352,0.8648505917018,"NS","No","Not_labeled"
"Afg2a","5v0",-0.0668399025466069,0.941064029563987,"NS","No","Not_labeled"
"Afg3l1","5v0",2.36377346592708,0.15787297634132,"NS","No","Not_labeled"
"Aftph","5v0",-0.0935572488075658,0.655934992829696,"NS","No","Not_labeled"
"Agap1","5v0",-0.151663494545504,0.556882377223035,"NS","No","Not_labeled"
"Agap2","5v0",-0.366126431807324,0.41532040039481,"NS","No","Not_labeled"
"Agap3","5v0",-1.11535151025963,0.0634449060746195,"NS","No","Not_labeled"
"Agfg1","5v0",1.2396072085241,0.386069909854635,"NS","No","Not_labeled"
"Aggf1","5v0",-0.291015569934884,0.514102104232822,"NS","No","Not_labeled"
"Agl","5v0",0.407913594574809,0.595844860688325,"NS","No","Not_labeled"
"Ago1","5v0",-0.1202859040628,0.687987574030901,"NS","No","Not_labeled"
"Ago2","5v0",-0.0758905624056183,0.807365079888553,"NS","No","Not_labeled"
"Ago3","5v0",0.410429243889402,0.491027936565258,"NS","No","Not_labeled"
"Agpat3","5v0",-0.872468120741641,0.199116880384393,"NS","No","Not_labeled"
"Agpat5","5v0",1.19094333160191,0.339897728388814,"NS","No","Not_labeled"
"Agps","5v0",0.674104196819313,0.503443531711464,"NS","No","Not_labeled"
"Agtpbp1","5v0",-0.391887102148187,0.430457191845829,"NS","No","Not_labeled"
"Ahctf1","5v0",-0.243262444790916,0.462679838978999,"NS","No","Not_labeled"
"Ahcyl1","5v0",1.70606438201872,0.372842981387266,"NS","No","Not_labeled"
"Ahcyl2","5v0",-0.644525630381332,0.032795711830531,"CLIP_Down","No","Not_labeled"
"Ahdc1","5v0",-0.459081167164864,0.0453781494180846,"CLIP_Down","No","Not_labeled"
"Ahi1","5v0",-0.195682795220402,0.54930561944042,"NS","No","Not_labeled"
"Ahnak","5v0",0.446446663535033,0.289346617325314,"NS","No","Not_labeled"
"Ahsa1","5v0",4.01609651453771,0.0373623250091524,"CLIP_Up","No","Not_labeled"
"AI593442","5v0",-0.204264154470618,0.625708337406566,"NS","No","Not_labeled"
"Ajap1","5v0",0.217629299307412,0.315756748924919,"NS","No","Not_labeled"
"Ajm1","5v0",-0.238302779425693,0.422343804331994,"NS","No","Not_labeled"
"Ak3","5v0",0.966515745063502,0.493054243261366,"NS","No","Not_labeled"
"Ak4","5v0",-1.09463577518451,0.224261106781837,"NS","No","Not_labeled"
"Ak5","5v0",-0.512926864577234,0.0773045772307143,"NS","No","Not_labeled"
"Akap1","5v0",-4.17969361601202,0.0209072144392491,"CLIP_Down","No","Not_labeled"
"Akap10","5v0",-2.31861267549509,0.12019781316297,"NS","No","Not_labeled"
"Akap11","5v0",-0.0877250512945054,0.708194298955198,"NS","No","Not_labeled"
"Akap13","5v0",0.580946401919537,0.0365197965527339,"CLIP_Up","Yes","Increased"
"Akap5","5v0",0.765627411083083,0.149671149105167,"NS","No","Not_labeled"
"Akap6","5v0",-0.275889704554028,0.165217228015504,"NS","No","Not_labeled"
"Akap9","5v0",0.368817422176039,0.342790288488433,"NS","No","Not_labeled"
"Akirin1","5v0",1.56852128055499,0.267482148769597,"NS","No","Not_labeled"
"Akt1","5v0",0.0313413245152949,0.951323201963297,"NS","No","Not_labeled"
"Akt3","5v0",-0.351582982223598,0.228589837650912,"NS","No","Not_labeled"
"Aktip","5v0",0.771721037405579,0.0838218950261001,"NS","No","Not_labeled"
"Alas1","5v0",1.85364615031301,0.301442182007776,"NS","No","Not_labeled"
"Alcam","5v0",-0.566597561505065,0.294500510813179,"NS","No","Not_labeled"
"Aldh1l1","5v0",1.20689238659859,0.254957638513741,"NS","No","Not_labeled"
"Aldh2","5v0",1.59671088059026,0.135145540497501,"NS","No","Not_labeled"
"Aldh6a1","5v0",0.451172947566221,0.159991309935724,"NS","No","Not_labeled"
"Aldoa","5v0",-0.353115484439558,0.608169732265934,"NS","No","Not_labeled"
"Aldoc","5v0",1.92142010293407,0.432525414061563,"NS","No","Not_labeled"
"Alg9","5v0",1.92897752280142,0.0500662334238732,"NS","No","Not_labeled"
"Alkbh5","5v0",-1.79653589626933,0.287899382240195,"NS","No","Not_labeled"
"Alkbh8","5v0",1.16007537606783,0.385138701837339,"NS","No","Not_labeled"
"Als2","5v0",-0.394376567009575,0.104868201751985,"NS","No","Not_labeled"
"Amd1","5v0",1.88955160539617,0.221092773314891,"NS","No","Not_labeled"
"Amer2","5v0",-0.550841604943849,0.400813496865513,"NS","No","Not_labeled"
"Amfr","5v0",-0.453255002396416,0.33151981376482,"NS","No","Not_labeled"
"Amigo1","5v0",-0.73993853293408,0.299474188588098,"NS","No","Not_labeled"
"Amot","5v0",-0.193410016709173,0.745864831740446,"NS","No","Not_labeled"
"Ampd2","5v0",-1.80080139127911,0.0180543280669981,"CLIP_Down","No","Not_labeled"
"Amph","5v0",-0.442383931893593,0.264949463900761,"NS","No","Not_labeled"
"Amz1","5v0",1.79007417492279,0.136875891163334,"NS","No","Not_labeled"
"Amz2","5v0",-1.29339947422923,0.3533476623823,"NS","No","Not_labeled"
"Anapc1","5v0",-0.152309933249063,0.625134022350754,"NS","No","Not_labeled"
"Anapc4","5v0",1.70938376289497,0.167311952675897,"NS","No","Not_labeled"
"Anapc5","5v0",0.489747213826242,0.208382990250204,"NS","No","Not_labeled"
"Anapc7","5v0",-0.732085691413986,0.270357380038891,"NS","No","Not_labeled"
"Ank","5v0",-0.762695638760969,0.223119272061549,"NS","No","Not_labeled"
"Ank2","5v0",0.228073917665057,0.447213756197124,"NS","No","Not_labeled"
"Ank3","5v0",-0.235505071804945,0.285565722710411,"NS","No","Not_labeled"
"Ankfy1","5v0",-0.0553652471802302,0.707771802069425,"NS","No","Not_labeled"
"Ankhd1","5v0",0.0891254857836916,0.811648887565985,"NS","No","Not_labeled"
"Ankib1","5v0",0.260133014540034,0.383238038672475,"NS","No","Not_labeled"
"Ankle2","5v0",0.12012965157854,0.854897621411428,"NS","No","Not_labeled"
"Ankrd11","5v0",-0.119101747842562,0.510036219884587,"NS","No","Not_labeled"
"Ankrd12","5v0",0.205759929454259,0.376237971354909,"NS","No","Not_labeled"
"Ankrd13a","5v0",1.25624006398665,0.365477870809503,"NS","No","Not_labeled"
"Ankrd13b","5v0",1.98549520427176,0.21278267100311,"NS","No","Not_labeled"
"Ankrd13c","5v0",0.032041371682952,0.903547586528556,"NS","No","Not_labeled"
"Ankrd17","5v0",-0.140531156712194,0.199400878300527,"NS","No","Not_labeled"
"Ankrd27","5v0",-1.23961751417382,0.0618546728627845,"NS","No","Not_labeled"
"Ankrd28","5v0",0.833964853819589,0.0705600618818793,"NS","No","Not_labeled"
